,rank/position,player name,Team,rating,career best rating
80,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/833"">Temba Bavuma</a>","<span class=""table-body__logo-text"">SA</span>","<td class=""table-body__cell rating"">416</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
81,"
                                    82
                                ","<a href=""/rankings/mens/player-rankings/1227"">J.J. Smit</a>","<span class=""table-body__logo-text"">NAM</span>","<td class=""table-body__cell rating"">409</td>","<span class=""rankings-table__pos-number"">
                                    82
                                </span>"
82,"
                                    83
                                ","<a href=""/rankings/mens/player-rankings/1188"">Matthew Cross</a>","<span class=""table-body__logo-text"">SCO</span>","<td class=""table-body__cell rating"">404</td>","<span class=""rankings-table__pos-number"">
                                    83
                                </span>"
83,"
                                    84
                                ","<a href=""/rankings/mens/player-rankings/3801"">Fakhar Zaman</a>","<span class=""table-body__logo-text"">PAK</span>","<td class=""table-body__cell rating"">399</td>","<span class=""rankings-table__pos-number"">
                                    84
                                </span>"
84,"
                                    85
                                ","<a href=""/rankings/mens/player-rankings/"">Aaron Johnson</a>","<span class=""table-body__logo-text"">CAN</span>","<td class=""table-body__cell rating"">397</td>","<span class=""rankings-table__pos-number"">
                                    85
                                </span>"
85,"
                                    86
                                ","<a href=""/rankings/mens/player-rankings/533"">Craig Ervine</a>","<span class=""table-body__logo-text"">ZIM</span>","<td class=""table-body__cell rating"">394</td>","<span class=""rankings-table__pos-number"">
                                    86
                                </span>"
86,"
                                    87
                                ","<a href=""/rankings/mens/player-rankings/4295"">Colin Ackermann</a>","<span class=""table-body__logo-text"">NED</span>","<td class=""table-body__cell rating"">393</td>","<span class=""rankings-table__pos-number"">
                                    87
                                </span>"
87,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/2798"">Sese Bau</a>","<span class=""table-body__logo-text"">PNG</span>","<td class=""table-body__cell rating"">393</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
88,"
                                    89
                                ","<a href=""/rankings/mens/player-rankings/1220"">Stephan Baard</a>","<span class=""table-body__logo-text"">NAM</span>","<td class=""table-body__cell rating"">389</td>","<span class=""rankings-table__pos-number"">
                                    89
                                </span>"
89,"
                                    90
                                ","<a href=""/rankings/mens/player-rankings/1723"">Ryan Burl</a>","<span class=""table-body__logo-text"">ZIM</span>","<td class=""table-body__cell rating"">387</td>","<span class=""rankings-table__pos-number"">
                                    90
                                </span>"
90,"
                                    91
                                ","<a href=""/rankings/mens/player-rankings/3644"">Liam Livingstone</a>","<span class=""table-body__logo-text"">ENG</span>","<td class=""table-body__cell rating"">384</td>","<span class=""rankings-table__pos-number"">
                                    91
                                </span>"
91,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/1295"">Dhananjaya de Silva</a>","<span class=""table-body__logo-text"">SL</span>","<td class=""table-body__cell rating"">384</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
92,"
                                    93
                                ","<a href=""/rankings/mens/player-rankings/2987"">Harry Tector</a>","<span class=""table-body__logo-text"">IRE</span>","<td class=""table-body__cell rating"">383</td>","<span class=""rankings-table__pos-number"">
                                    93
                                </span>"
93,"
                                    94
                                ","<a href=""/rankings/mens/player-rankings/2972"">Rishabh Pant</a>","<span class=""table-body__logo-text"">IND</span>","<td class=""table-body__cell rating"">382</td>","<span class=""rankings-table__pos-number"">
                                    94
                                </span>"
94,"
                                    95
                                ","<a href=""/rankings/mens/player-rankings/1508"">Usman Ghani</a>","<span class=""table-body__logo-text"">AFG</span>","<td class=""table-body__cell rating"">381</td>","<span class=""rankings-table__pos-number"">
                                    95
                                </span>"
95,"
                                    96
                                ","<a href=""/rankings/mens/player-rankings/"">Chirag Suri</a>","<span class=""table-body__logo-text"">UAE</span>","<td class=""table-body__cell rating"">378</td>","<span class=""rankings-table__pos-number"">
                                    96
                                </span>"
96,"
                                    97
                                ","<a href=""/rankings/mens/player-rankings/1705"">Shimron Hetmyer</a>","<span class=""table-body__logo-text"">WI</span>","<td class=""table-body__cell rating"">374</td>","<span class=""rankings-table__pos-number"">
                                    97
                                </span>"
97,"
                                    98
                                ","<a href=""/rankings/mens/player-rankings/1414"">Norman Vanua</a>","<span class=""table-body__logo-text"">PNG</span>","<td class=""table-body__cell rating"">371</td>","<span class=""rankings-table__pos-number"">
                                    98
                                </span>"
98,"
                                    99
                                ","<a href=""/rankings/mens/player-rankings/3216"">Muhammad Usman</a>","<span class=""table-body__logo-text"">UAE</span>","<td class=""table-body__cell rating"">364</td>","<span class=""rankings-table__pos-number"">
                                    99
                                </span>"
99,"
                                    100
                                ","<a href=""/rankings/mens/player-rankings/4088"">Josh Inglis</a>","<span class=""table-body__logo-text"">AUS</span>","<td class=""table-body__cell rating"">359</td>","<span class=""rankings-table__pos-number"">
                                    100
                                </span>"
